Duration,Stage,Cycle,Industry,ETF,Return,volatility,Sharpe Ratio
03/99-05/99,1,2,Materials,XLB,0.86,0.26,2.52
03/99-05/99,1,2,Energy,XLE,1.81,0.3,3.61
03/99-05/99,1,2,Financial,XLF,0.14,0.25,0.66
03/99-05/99,1,2,Industrials,XLI,0.76,0.18,3.32
03/99-05/99,1,2,Technology,XLK,0.41,0.31,1.26
03/99-05/99,1,2,Consumer Staples,XLP,-0.16,0.23,-0.64
03/99-05/99,1,2,Utilities,XLU,0.24,0.2,1.16
03/99-05/99,1,2,Healthcare,XLV,0.13,0.22,0.69
03/99-05/99,1,2,Consumer Disc.,XLY,0.11,0.23,0.58
06/99-11/99,2,2,Materials,XLB,-0.12,0.2,-0.55
06/99-11/99,2,2,Energy,XLE,-0.02,0.21,0.03
06/99-11/99,2,2,Financial,XLF,-0.01,0.29,0.11
06/99-11/99,2,2,Industrials,XLI,-0.04,0.17,-0.14
06/99-11/99,2,2,Technology,XLK,0.66,0.26,2.11
06/99-11/99,2,2,Consumer Staples,XLP,-0.02,0.21,0
06/99-11/99,2,2,Utilities,XLU,-0.02,0.18,0
06/99-11/99,2,2,Healthcare,XLV,0.02,0.19,0.21
06/99-11/99,2,2,Consumer Disc.,XLY,0.02,0.22,0.21
12/99-05/00,3,2,Materials,XLB,-0.18,0.32,-0.46
12/99-05/00,3,2,Energy,XLE,0.4,0.3,1.27
12/99-05/00,3,2,Financial,XLF,0.08,0.37,0.4
12/99-05/00,3,2,Industrials,XLI,0.15,0.27,0.64
12/99-05/00,3,2,Technology,XLK,0.09,0.4,0.42
12/99-05/00,3,2,Consumer Staples,XLP,-0.06,0.3,-0.05
12/99-05/00,3,2,Utilities,XLU,-0.02,0.25,0.05
12/99-05/00,3,2,Healthcare,XLV,0.09,0.29,0.44
12/99-05/00,3,2,Consumer Disc.,XLY,-0.11,0.32,-0.18
05/00-08/00,4,2,Materials,XLB,-0.21,0.25,-0.84
05/00-08/00,4,2,Energy,XLE,0.07,0.25,0.4
05/00-08/00,4,2,Financial,XLF,0.48,0.26,1.63
05/00-08/00,4,2,Industrials,XLI,0.28,0.19,1.4
05/00-08/00,4,2,Technology,XLK,0.44,0.28,1.46
05/00-08/00,4,2,Consumer Staples,XLP,0.01,0.21,0.16
05/00-08/00,4,2,Utilities,XLU,0.05,0.2,0.33
05/00-08/00,4,2,Healthcare,XLV,0.12,0.18,0.72
05/00-08/00,4,2,Consumer Disc.,XLY,-0.3,0.26,-1.23
03/04-05/04,1,3,Materials,XLB,-0.21,0.22,-0.99
03/04-05/04,1,3,Energy,XLE,-0.04,0.2,-0.13
03/04-05/04,1,3,Financial,XLF,-0.17,0.15,-1.19
03/04-05/04,1,3,Industrials,XLI,0.03,0.15,0.24
03/04-05/04,1,3,Technology,XLK,-0.15,0.19,-0.75
03/04-05/04,1,3,Consumer Staples,XLP,-0.02,0.1,-0.19
03/04-05/04,1,3,Utilities,XLU,-0.1,0.14,-0.67
03/04-05/04,1,3,Healthcare,XLV,-0.07,0.13,-0.49
03/04-05/04,1,3,Consumer Disc.,XLY,-0.07,0.16,-0.35
05/04-10/05,2,3,Materials,XLB,0.08,0.16,0.54
05/04-10/05,2,3,Energy,XLE,0.42,0.23,1.67
05/04-10/05,2,3,Financial,XLF,0.07,0.12,0.65
05/04-10/05,2,3,Industrials,XLI,0.08,0.12,0.72
05/04-10/05,2,3,Technology,XLK,0.03,0.14,0.27
05/04-10/05,2,3,Consumer Staples,XLP,0.02,0.1,0.28
05/04-10/05,2,3,Utilities,XLU,0.27,0.13,1.84
05/04-10/05,2,3,Healthcare,XLV,0,0.12,0.07
05/04-10/05,2,3,Consumer Disc.,XLY,0.01,0.13,0.17
11/05-06/06,3,3,Materials,XLB,0.29,0.18,1.5
11/05-06/06,3,3,Energy,XLE,0.26,0.26,1.02
11/05-06/06,3,3,Financial,XLF,0.13,0.12,1.07
11/05-06/06,3,3,Industrials,XLI,0.24,0.11,1.97
11/05-06/06,3,3,Technology,XLK,0.01,0.14,0.12
11/05-06/06,3,3,Consumer Staples,XLP,0.1,0.09,1.15
11/05-06/06,3,3,Utilities,XLU,0.11,0.13,0.92
11/05-06/06,3,3,Healthcare,XLV,0.01,0.1,0.17
11/05-06/06,3,3,Consumer Disc.,XLY,0.09,0.11,0.8
07/06-09/06,4,3,Materials,XLB,-0.08,0.18,-0.36
07/06-09/06,4,3,Energy,XLE,-0.24,0.24,-1.03
07/06-09/06,4,3,Financial,XLF,0.29,0.11,2.28
07/06-09/06,4,3,Industrials,XLI,-0.05,0.15,-0.3
07/06-09/06,4,3,Technology,XLK,0.35,0.15,2.05
07/06-09/06,4,3,Consumer Staples,XLP,0.21,0.09,2.26
07/06-09/06,4,3,Utilities,XLU,0.22,0.1,1.99
07/06-09/06,4,3,Healthcare,XLV,0.47,0.09,4.14
07/06-09/06,4,3,Consumer Disc.,XLY,0.21,0.15,1.34
09/16-11/16,1,4,Materials,XLB,0.13,0.14,0.92
09/16-11/16,1,4,Energy,XLE,0.45,0.23,1.75
09/16-11/16,1,4,Financial,XLF,0.69,0.14,3.08
09/16-11/16,1,4,Industrials,XLI,0.32,0.14,2.1
09/16-11/16,1,4,Technology,XLK,0.05,0.13,0.43
09/16-11/16,1,4,Consumer Staples,XLP,-0.24,0.13,-2.02
09/16-11/16,1,4,Utilities,XLU,-0.14,0.2,-0.66
09/16-11/16,1,4,Healthcare,XLV,-0.18,0.16,-1.18
09/16-11/16,1,4,Consumer Disc.,XLY,0.07,0.12,0.65
11/16-02/18,2,4,Materials,XLB,0.18,0.12,1.37
11/16-02/18,2,4,Energy,XLE,-0.06,0.15,-0.32
11/16-02/18,2,4,Financial,XLF,0.23,0.15,1.47
11/16-02/18,2,4,Industrials,XLI,0.2,0.11,1.66
11/16-02/18,2,4,Technology,XLK,0.38,0.13,2.58
11/16-02/18,2,4,Consumer Staples,XLP,0.08,0.09,0.86
11/16-02/18,2,4,Utilities,XLU,0.08,0.11,0.76
11/16-02/18,2,4,Healthcare,XLV,0.2,0.11,1.73
11/16-02/18,2,4,Consumer Disc.,XLY,0.23,0.11,2.03
03/18-12/18,3,4,Materials,XLB,-0.15,0.19,-0.78
03/18-12/18,3,4,Energy,XLE,-0.13,0.22,-0.55
03/18-12/18,3,4,Financial,XLF,-0.17,0.19,-0.9
03/18-12/18,3,4,Industrials,XLI,-0.15,0.19,-0.78
03/18-12/18,3,4,Technology,XLK,-0.07,0.23,-0.22
03/18-12/18,3,4,Consumer Staples,XLP,-0.02,0.14,-0.09
03/18-12/18,3,4,Utilities,XLU,0.14,0.15,0.97
03/18-12/18,3,4,Healthcare,XLV,0.07,0.17,0.51
03/18-12/18,3,4,Consumer Disc.,XLY,-0.03,0.19,-0.07
01/19-03/19,4,4,Materials,XLB,0.48,0.18,2.29
01/19-03/19,4,4,Energy,XLE,0.73,0.18,3.12
01/19-03/19,4,4,Financial,XLF,0.36,0.16,2.01
01/19-03/19,4,4,Industrials,XLI,0.9,0.17,3.92
01/19-03/19,4,4,Technology,XLK,1.13,0.21,3.76
01/19-03/19,4,4,Consumer Staples,XLP,0.6,0.11,4.41
01/19-03/19,4,4,Utilities,XLU,0.65,0.12,4.39
01/19-03/19,4,4,Healthcare,XLV,0.39,0.15,2.29
01/19-03/19,4,4,Consumer Disc.,XLY,0.77,0.15,3.81